1.tiff,10.gif,11.gif,12.tiff,13.tiff,14.gif,15.gif,2.gif,3.tiff,4.tiff,5.gif,6.gif,7.tiff,8.gif,9.gif
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.900737762451172,9.844474792480469,10.059974670410156,7.487541198730469,10.50992202758789,10.32659912109375,11.429866790771484,10.951366424560547,11.790771484375,9.665481567382812,10.597087860107422,9.192455291748047,9.81201171875,10.791805267333984,9.919391632080078
21.32186508178711,19.72582244873047,20.212112426757812,15.171928405761719,21.02941131591797,20.476360321044922,22.7716064453125,21.82166290283203,23.5885009765625,19.284564971923828,21.085594177246094,18.512523651123047,19.756885528564453,21.66250991821289,19.884708404541016
32.39304733276367,29.607593536376953,30.31047821044922,22.875205993652344,31.715778350830078,30.95148468017578,34.54646682739258,32.77226257324219,35.29835510253906,28.927566528320312,31.573543548583984,27.876537322998047,29.387916564941406,32.372982025146484,29.41482162475586
43.20464324951172,39.677433013916016,40.28877639770508,30.382625579833984,42.11659240722656,41.048988342285156,46.193702697753906,43.54057693481445,46.790771484375,38.46145248413086,42.354644775390625,37.21529769897461,38.992218017578125,43.41781997680664,39.21406936645508
53.868309020996094,49.14877700805664,50.77404022216797,38.03685760498047,52.74267578125,51.247337341308594,57.3553352355957,54.42850875854492,58.85616683959961,48.02663803100586,52.86442184448242,46.37895584106445,48.903846740722656,54.12459182739258,49.151405334472656
64.80895614624023,59.11625671386719,60.708580017089844,45.6961555480957,63.28953170776367,61.64427947998047,68.72045516967773,65.26163864135742,70.25395584106445,57.9123420715332,63.351158142089844,55.73286437988281,58.62898635864258,65.07718658447266,58.97748565673828
75.1363410949707,68.93277359008789,71.03908157348633,53.316139221191406,73.91024780273438,71.60087966918945,80.4737777709961,76.16664123535156,82.13050079345703,67.50106430053711,73.9543342590332,65.06813049316406,68.45637893676758,75.68090438842773,68.85573196411133
86.25083923339844,78.74402618408203,81.06763458251953,60.92319869995117,84.47145462036133,82.05741500854492,91.55927658081055,87.05764770507812,93.88554763793945,77.17949676513672,84.63265991210938,74.51697540283203,78.22283172607422,86.70376205444336,78.73220443725586
96.71823501586914,88.94862747192383,90.84369659423828,68.51147079467773,95.11577606201172,92.38468551635742,103.33156967163086,98.16443634033203,105.54997634887695,86.66883087158203,95.02521896362305,83.78753280639648,87.89653015136719,97.40257263183594,88.70924758911133
107.85733032226562,98.62258529663086,101.29101181030273,76.16409683227539,105.62548446655273,102.62184143066406,114.75124740600586,108.75240707397461,117.31228256225586,96.45217514038086,106.02038192749023,93.12957000732422,97.81261444091797,108.1875228881836,98.30300903320312
107.75559616088867,98.33567810058594,100.80905151367188,76.5977897644043,105.5333480834961,102.91633605957031,114.61610794067383,108.82793807983398,117.72458267211914,96.5041618347168,105.98057174682617,92.96642303466797,98.6425666809082,108.30661392211914,97.69177627563477
107.67963027954102,98.12033081054688,100.7215461730957,77.05212783813477,105.25571823120117,102.88639450073242,114.58150100708008,108.87884521484375,118.04441452026367,96.4516830444336,105.76356506347656,92.8570671081543,99.34027862548828,108.34146118164062,97.10944747924805
107.8453140258789,97.79511260986328,100.42596817016602,77.6121826171875,104.99953079223633,102.84875106811523,114.65225982666016,109.00957107543945,118.51089477539062,96.48218536376953,105.90317153930664,92.86530303955078,100.02318572998047,108.22609329223633,96.53152847290039
107.85860061645508,97.96306228637695,100.33734893798828,77.84363174438477,104.90141296386719,102.88685607910156,114.70645141601562,109.09848022460938,118.74436569213867,96.55340576171875,105.79057312011719,92.76097106933594,100.62745666503906,108.22642135620117,95.80751037597656
107.98149108886719,97.5827865600586,99.93418884277344,78.30342483520508,104.74007415771484,102.7649040222168,114.70696258544922,108.9565315246582,119.33431625366211,96.50471878051758,105.90156173706055,92.60205078125,101.3497200012207,107.94903945922852,95.21146011352539
108.0554428100586,97.47672653198242,99.57848739624023,78.87995147705078,104.37423706054688,102.74238204956055,114.63703155517578,109.08041381835938,119.79542541503906,96.4632453918457,105.87469863891602,92.5276870727539,102.07205581665039,107.97655487060547,94.7743034362793
108.09101867675781,97.19372177124023,99.39894485473633,79.3682746887207,104.3065185546875,102.74042129516602,114.77078628540039,108.9446029663086,120.0467643737793,96.64329528808594,105.9385871887207,92.53116226196289,102.96550369262695,107.85786437988281,93.94111251831055
108.12601852416992,97.10687637329102,99.05051803588867,79.7767219543457,103.98356246948242,102.80750274658203,114.91574096679688,109.0855712890625,120.59859848022461,96.61513900756836,105.88438415527344,92.4687271118164,103.53504943847656,107.8931655883789,93.4231948852539
108.23221969604492,96.88121795654297,98.92001342773438,80.23031616210938,103.8550910949707,102.87125015258789,114.89544296264648,109.11915969848633,121.0440902709961,96.70814895629883,106.01870346069336,92.33765411376953,104.33366775512695,107.73266220092773,92.85063552856445
